,trial_index,arm_name,trial_status,generation_method,test_acc,test_loss,lr,batch_size,aggregation,hid,layers
9,9,9_0,COMPLETED,BO_MIXED,0.367816091954023,8.656637032826742,0.08643946187613043,256,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,0.632183908045977,32.478650410970054,0.0919607186200215,256,sum,128,2
19,19,19_0,COMPLETED,BO_MIXED,0.7586206896551724,3371.6669108072915,0.1,256,max,128,2
7,7,7_0,COMPLETED,BO_MIXED,0.7739463601532567,137.29159593582153,0.06106043569872423,128,sum,128,2
15,15,15_0,COMPLETED,BO_MIXED,0.7854406130268199,4.01657501856486,0.1,256,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,0.8582375478927203,8.142813682556152,0.06684400876992154,128,sum,128,2
1,1,1_0,COMPLETED,Sobol,0.8582375478927203,1.3897208213805545,0.042124781905866535,128,sum,128,2
20,20,20_0,COMPLETED,BO_MIXED,0.8620689655172413,18287.9609375,0.0001,512,max,128,2
21,21,21_0,COMPLETED,BO_MIXED,0.8620689655172413,194745408.0,0.052271077453321275,256,max,128,2
22,22,22_0,COMPLETED,BO_MIXED,0.8620689655172413,1357.8774820963542,0.1,128,max,128,2
0,0,0_0,COMPLETED,Sobol,0.8620689655172413,16371.859375,0.0001865322718407359,256,mean,128,2
24,24,24_0,COMPLETED,BO_MIXED,0.8620689655172413,0.5423560539881388,0.009717756503717142,512,mean,128,2
25,25,25_0,COMPLETED,BO_MIXED,0.8620689655172413,0.9331436793048246,0.07556584264102463,128,mean,128,2
26,26,26_0,COMPLETED,BO_MIXED,0.8620689655172413,31694124.0,0.08923945322576296,256,sum,128,2
27,27,27_0,COMPLETED,BO_MIXED,0.8620689655172413,1115117568.0,0.07527910632810025,512,max,128,2
23,23,23_0,COMPLETED,BO_MIXED,0.8620689655172413,44209.203125,0.08517712445443038,256,max,128,2
18,18,18_0,COMPLETED,BO_MIXED,0.8620689655172413,61.275858561197914,0.0952777244785319,512,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,0.8620689655172413,2.07828696568807,0.0804965580573899,256,sum,128,2
16,16,16_0,COMPLETED,BO_MIXED,0.8620689655172413,7.003865877787272,0.06474130413697438,256,sum,128,2
28,28,28_0,COMPLETED,BO_MIXED,0.8620689655172413,47276.296875,0.0001132376286976248,512,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,0.8620689655172413,1876435200.0,0.03294748720200488,256,sum,128,2
11,11,11_0,COMPLETED,BO_MIXED,0.8620689655172413,56093442.666666664,0.0001,256,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,0.8620689655172413,0.6651169260342916,0.1,256,mean,128,2
6,6,6_0,COMPLETED,BO_MIXED,0.8620689655172413,0.547813355922699,0.003472558308012006,128,sum,128,2
5,5,5_0,COMPLETED,Sobol,0.8620689655172413,10273.758463541666,0.013215494743445832,128,mean,128,2
4,4,4_0,COMPLETED,Sobol,0.8620689655172413,0.6425387064615885,0.0028437033255790875,512,sum,128,2
3,3,3_0,COMPLETED,Sobol,0.8620689655172413,26422624.0,0.0007632231810882134,256,max,128,2
2,2,2_0,COMPLETED,Sobol,0.8620689655172413,923665.9166666666,0.0034984596226199345,512,mean,128,2
17,17,17_0,COMPLETED,BO_MIXED,0.8620689655172413,11.68692429860433,0.1,128,sum,128,2
29,29,29_0,COMPLETED,BO_MIXED,0.8620689655172413,43810040.0,0.0001,512,sum,128,2
