,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@3,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
1,1,1_0,COMPLETED,Sobol,0.5,0.4328358208955224,0.3805,0.33975155279503105,0.3595959595959596,0.39710365853658536,0.3526785714285714,0.39969135802469136,0.42272727272727273,0.4027777777777778,0.3235294117647059,0.3796962430055955,0.3833333333333333,0.25,0.20454545454545453,0.13157894736842105,0.11764705882352941,0.19999999999999998,0.2142857142857143,0.35891286970423664,0.36650679456434854,0.3752997601918465,0.35491606714628293,0.3940847322142285,0.3693045563549161,0.36478758169934644,0.37404684115331266,0.9387183532916359,3,0.0007508428155332961,64,max,128
9,9,9_0,COMPLETED,BoTorch,0.5,0.41169154228855726,0.4655,0.3944099378881988,0.3696969696969697,0.28125,0.3098214285714286,0.29475308641975306,0.30681818181818177,0.5277777777777778,0.5588235294117647,0.385691446842526,0.6000000000000001,0.6346153846153846,0.6363636363636364,0.631578947368421,0.6470588235294118,0.6,0.5714285714285714,0.3521183053557154,0.334132693844924,0.3321342925659473,0.3349320543565148,0.3621103117505995,0.376898481215028,0.386437908496732,0.3944311171400365,0.8825328614081603,2,0.0001,32,max,128
28,28,28_0,COMPLETED,BoTorch,0.3828936850519584,0.3830845771144279,0.36950000000000005,0.39937888198757765,0.35555555555555557,0.33384146341463417,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.3828936850519584,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.3828936850519584,0.38329336530775376,0.38329336530775376,0.38369304556354916,0.3823529411764706,0.40307123333451017,0.8825328614081603,2,0.055803645731094906,64,mean,128
0,0,0_0,COMPLETED,Sobol,0.3824940047961631,0.3830845771144279,0.36950000000000005,0.4,0.35555555555555557,0.33384146341463417,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.3828936850519584,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.3828936850519584,0.3832933653077538,0.3832933653077538,0.38369304556354916,0.3823529411764707,0.40307832783162845,0.9427422132671651,2,0.005537727881833665,32,sum,128
24,24,24_0,COMPLETED,BoTorch,0.3830935251798561,0.38349917081260365,0.36950000000000005,0.4,0.35555555555555557,0.33384146341463417,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.3828936850519584,0.6666666666666666,0.6923076923076923,0.6931818181818181,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.38329336530775376,0.38329336530775376,0.38329336530775376,0.38369304556354916,0.3823529411764706,0.4032794793282596,0.8223235095491555,3,0.04780099132660121,32,sum,128
19,19,19_0,COMPLETED,BoTorch,0.3828936850519584,0.38391376451077946,0.37050000000000005,0.40248447204968946,0.35858585858585856,0.33689024390243905,0.33035714285714285,0.3209876543209877,0.34545454545454546,0.7222222222222222,0.7058823529411765,0.3828936850519584,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3830935251798561,0.3828936850519584,0.38329336530775376,0.38329336530775376,0.38329336530775376,0.3819444444444445,0.40370009428455683,0.7027212766199807,2,0.0025361973428425833,16,sum,128
8,8,8_0,COMPLETED,BoTorch,0.5,0.3839137645107794,0.364,0.3975155279503106,0.3555555555555555,0.33384146341463417,0.3321428571428572,0.32098765432098764,0.34090909090909094,0.7222222222222222,0.7058823529411765,0.38329336530775376,0.6833333333333333,0.6923076923076923,0.6818181818181819,0.631578947368421,0.6176470588235294,0.6,0.5714285714285714,0.38349320543565146,0.38329336530775376,0.3832933653077538,0.3826938449240608,0.38349320543565146,0.3824940047961631,0.3827614379084968,0.4103596824321214,0.8825328614081603,2,0.0001,64,mean,128
21,21,21_0,COMPLETED,BoTorch,0.5,0.3830845771144279,0.36950000000000005,0.39937888198757765,0.35555555555555557,0.33384146341463417,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.3828936850519584,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.3828936850519584,0.38329336530775376,0.38329336530775376,0.38369304556354916,0.3823529411764706,0.4105786614467366,0.9427422132671651,3,0.05521038371276851,16,mean,128
11,11,11_0,COMPLETED,BoTorch,0.6181055155875299,0.3830845771144279,0.36950000000000005,0.39937888198757765,0.35555555555555557,0.33384146341463417,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.3828936850519584,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.3828936850519584,0.38329336530775376,0.38329336530775376,0.38369304556354916,0.3823529411764706,0.4181501461128216,0.9427422132671651,2,0.04737596743209503,32,mean,128
29,29,29_0,COMPLETED,BoTorch,0.3828936850519584,0.38349917081260365,0.37000000000000005,0.40124223602484477,0.35555555555555557,0.33536585365853655,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.6171063149480415,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.38329336530775376,0.38329336530775376,0.38329336530775376,0.38369304556354916,0.38276143790849676,0.41834609132775574,0.8825328614081603,3,0.1,64,sum,128
5,5,5_0,COMPLETED,Sobol,0.5,0.3830845771144279,0.369,0.39999999999999997,0.35353535353535354,0.33384146341463417,0.3267857142857143,0.31790123456790126,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.38249400479616313,0.6666666666666666,0.7115384615384615,0.7045454545454546,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.442845723421263,0.6167066346922463,0.38329336530775376,0.38329336530775376,0.38369304556354916,0.3827614379084967,0.4296354720641004,0.18062805557701433,3,0.00043134529457281354,16,sum,128
18,18,18_0,COMPLETED,BoTorch,0.6171063149480415,0.3830845771144279,0.36950000000000005,0.3987577639751553,0.35454545454545455,0.33384146341463417,0.3267857142857143,0.31790123456790126,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.6171063149480415,0.6666666666666666,0.6923076923076923,0.7045454545454546,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.3828936850519584,0.3828936850519585,0.38329336530775376,0.38369304556354916,0.3823529411764706,0.43308788274222365,0.8825328614081603,2,0.0016505778979964644,16,sum,128
22,22,22_0,COMPLETED,BoTorch,0.6163069544364508,0.38349917081260365,0.37,0.4006211180124224,0.35555555555555557,0.33384146341463417,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.6173061550759392,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519585,0.3828936850519585,0.3832933653077538,0.3832933653077538,0.3832933653077538,0.38369304556354916,0.3819444444444444,0.43318240078240156,0.9427422132671651,3,0.027125286510167834,16,sum,128
10,10,10_0,COMPLETED,BoTorch,0.6183053557154277,0.3832918739635157,0.37,0.40186335403726714,0.3565656565656566,0.33536585365853655,0.32857142857142857,0.3209876543209877,0.3409090909090909,0.7222222222222222,0.7058823529411765,0.6171063149480415,0.6666666666666666,0.6923076923076923,0.6818181818181819,0.6578947368421053,0.6176470588235294,0.6,0.5714285714285714,0.3828936850519584,0.3828936850519584,0.38329336530775376,0.3832933653077538,0.38329336530775376,0.38369304556354916,0.38255718954248363,0.43348978024504464,0.9427422132671651,3,0.011059151080577614,16,sum,128
25,25,25_0,COMPLETED,BoTorch,0.5,0.3832918739635158,0.37,0.40248447204968946,0.35707070707070704,0.33841463414634143,0.33035714285714285,0.32098765432098764,0.34545454545454546,0.7222222222222222,0.7058823529411765,0.6171063149480415,0.6666666666666666,0.7019230769230769,0.6818181818181819,0.6447368421052632,0.6029411764705883,0.6,0.5714285714285714,0.6163069544364509,0.3828936850519584,0.38329336530775376,0.3832933653077538,0.38329336530775376,0.3832933653077538,0.38296568627450983,0.4410672332124743,0.8825328614081603,3,0.023413129561650276,64,sum,128
23,23,23_0,COMPLETED,BoTorch,0.5,0.386608623548922,0.45575,0.5403726708074534,0.5595959595959596,0.6371951219512195,0.6517857142857143,0.6975308641975309,0.7318181818181818,0.5694444444444444,0.5,0.373101518784972,0.4833333333333333,0.4230769230769231,0.43181818181818177,0.42105263157894735,0.4117647058823529,0.4,0.42857142857142855,0.37569944044764186,0.372501998401279,0.37130295763389287,0.38369304556354916,0.35711430855315746,0.35391686650679455,0.3839869281045752,0.4455328811436682,0.8954896641620428,3,0.031850911476752335,32,max,128
17,17,17_0,COMPLETED,BoTorch,0.5,0.3876451077943615,0.378,0.45590062111801244,0.598989898989899,0.6204268292682926,0.6428571428571429,0.6851851851851852,0.6863636363636363,0.4444444444444444,0.4117647058823529,0.38808952837729815,0.39999999999999997,0.36538461538461536,0.38636363636363635,0.39473684210526316,0.4411764705882353,0.4,0.42857142857142855,0.41007194244604317,0.41446842525979216,0.4148681055155875,0.41127098321342925,0.45003996802557955,0.4060751398880895,0.3991013071895425,0.4515510921684857,0.7902995523532433,2,0.010076490570744645,64,max,128
