,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
11,11,11_0,COMPLETED,BO_MIXED,39.99099532465782,28.70085199671703,0.06918161157017497,512,max,128,2
9,9,9_0,COMPLETED,BO_MIXED,40.00392695331935,28.703219275240684,0.1,512,max,128,2
23,23,23_0,COMPLETED,BO_MIXED,40.020049125694214,28.710674359577013,0.017091453312112287,256,max,128,2
7,7,7_0,COMPLETED,BO_MIXED,40.03657009900757,28.73158022362334,0.1,128,max,128,2
12,12,12_0,COMPLETED,BO_MIXED,40.03911825044646,28.72598003668991,0.04758644404308974,512,max,128,2
28,28,28_0,COMPLETED,BO_MIXED,40.04393461444087,28.72337775223452,0.011062749958181028,512,max,128,2
29,29,29_0,COMPLETED,BO_MIXED,40.05356785457067,28.73712432298973,0.0196218616347942,512,max,128,2
17,17,17_0,COMPLETED,BO_MIXED,40.05405082679942,28.732289036855548,0.1,256,max,128,2
19,19,19_0,COMPLETED,BO_MIXED,40.05773867774628,28.741484242512012,0.028133953941112688,512,max,128,2
26,26,26_0,COMPLETED,BO_MIXED,40.0614095598187,28.736985208914813,0.016636720095467995,512,max,128,2
27,27,27_0,COMPLETED,BO_MIXED,40.06453684099932,28.737327854386493,0.011419776071601816,256,max,128,2
10,10,10_0,COMPLETED,BO_MIXED,40.087008850793545,28.730666702972176,0.1,512,mean,128,2
24,24,24_0,COMPLETED,BO_MIXED,40.090243245630234,28.753494212164725,0.04096215674297084,512,max,128,2
18,18,18_0,COMPLETED,BO_MIXED,40.10608578802085,28.730843371773105,0.1,512,sum,128,2
25,25,25_0,COMPLETED,BO_MIXED,40.137557310674126,28.775974317061277,0.04096884884533414,256,max,128,2
13,13,13_0,COMPLETED,BO_MIXED,40.13848103992626,28.776940774799222,0.08510729593417195,512,max,128,2
22,22,22_0,COMPLETED,BO_MIXED,40.143731197237706,28.7767940617822,0.05763399602161298,512,max,128,2
15,15,15_0,COMPLETED,BO_MIXED,40.18447161779007,28.77033420529609,0.05565514006360675,512,sum,128,2
21,21,21_0,COMPLETED,BO_MIXED,40.18870586635526,28.780594893467583,0.03859184504568848,512,mean,128,2
1,1,1_0,COMPLETED,Sobol,40.2079137936482,28.774392983353057,0.042124781905866535,128,sum,128,2
4,4,4_0,COMPLETED,Sobol,40.22115068806631,28.787578054284502,0.0028437033255790875,512,sum,128,2
20,20,20_0,COMPLETED,BO_MIXED,40.22289500405581,28.792050845187003,0.024756190934462328,512,sum,128,2
6,6,6_0,COMPLETED,BO_MIXED,40.22323825883299,28.794763139196956,0.0010844752407495615,128,sum,128,2
5,5,5_0,COMPLETED,Sobol,40.230279304128196,28.79787893538033,0.013215494743445832,128,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,40.247607196815416,28.815746494481196,0.04801506749050556,128,max,128,2
16,16,16_0,COMPLETED,BO_MIXED,40.273078769178554,28.819196174467628,0.1,128,mean,128,2
2,2,2_0,COMPLETED,Sobol,40.33003854902714,28.839479570488944,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,40.43773170144968,28.88541622875221,0.0007632231810882134,256,max,128,2
8,8,8_0,COMPLETED,BO_MIXED,40.44670046118249,28.888916482554627,0.0002258265003049963,128,max,128,2
0,0,0_0,COMPLETED,Sobol,40.44939602532637,28.88993830766101,0.0001865322718407359,256,mean,128,2
