,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
9,9,9_0,COMPLETED,BO_MIXED,22.15193329326064,3.923660648897453,0.0024186766710957495,512,sum,128,2
4,4,4_0,COMPLETED,Sobol,22.675774100502622,2.1484715772119944,0.0028437033255790875,512,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,23.544576646921737,2.309312163420359,0.09853466739231781,128,mean,128,2
11,11,11_0,COMPLETED,BO_MIXED,23.711145326981548,2.4820396974777217,0.046905252159765924,128,mean,128,2
5,5,5_0,COMPLETED,Sobol,23.788300952778762,2.4529357913898266,0.013215494743445832,128,mean,128,2
10,10,10_0,COMPLETED,BO_MIXED,23.89868683331279,2.641884389455135,0.021213837549629133,128,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,24.143862742825547,1.473805550007166,0.0026239695407511373,128,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,24.393487739922538,2.8165350478659557,0.1,128,max,128,2
1,1,1_0,COMPLETED,Sobol,24.560300008686696,2.203721289503607,0.042124781905866535,128,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,25.231471108527433,1.232014448569297,0.003889305382121337,512,sum,128,2
6,6,6_0,COMPLETED,BO_MIXED,25.310881482251894,1.2693292726302838,0.009501919916082466,512,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,26.530696641799043,9.806756448020872,0.001360861132855174,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,27.975483342924427,10.420714991610543,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,28.720367830237386,10.51121571377406,0.0007632231810882134,256,max,128,2
0,0,0_0,COMPLETED,Sobol,29.19369958813,10.508259753441424,0.0001865322718407359,256,mean,128,2
