,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
8,8,8_0,COMPLETED,BO_MIXED,39.09155168524136,4.04680550418567,0.033270321337841476,128,max,128,2
1,1,1_0,COMPLETED,Sobol,39.17171928656828,4.118954859365683,0.042124781905866535,128,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,39.195393431833665,4.180938688889609,0.1,256,max,128,2
10,10,10_0,COMPLETED,BO_MIXED,39.43050128534986,4.185313227579393,0.026382887960795853,128,sum,128,2
11,11,11_0,COMPLETED,BO_MIXED,43.18809428503209,4.026605888713849,0.02561678973098573,128,max,128,2
9,9,9_0,COMPLETED,BO_MIXED,43.54172949892204,4.19121237846326,0.03723527546877807,128,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,43.62720726414697,3.59363087240032,0.03267329152957998,128,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,43.742881949930826,3.4364652393788764,0.1,512,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,43.91810228747068,3.3248602169671613,0.1,128,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,43.91866957401087,3.4588883456983495,0.043429654279461695,256,sum,128,2
5,5,5_0,COMPLETED,Sobol,44.1469873830742,4.0837894490510145,0.013215494743445832,128,mean,128,2
4,4,4_0,COMPLETED,Sobol,66.60488600392914,12.746114694788174,0.0028437033255790875,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,68.10965872501721,12.868416872951663,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,68.14395464209468,12.868180925505692,0.0007632231810882134,256,max,128,2
0,0,0_0,COMPLETED,Sobol,68.20200426577269,12.865774020710793,0.0001865322718407359,256,mean,128,2
