trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n
1,6.0927936921296295,644,4.754022352430556,607,6.425583043981481,133,1.4945452654803242,4
2,6.092790075231481,644,4.754022352430556,607,6.425584490740741,133,1.494548972800926,4
3,6.0927944155092595,644,4.754020543981482,607,6.425580150462963,133,1.4945413773148148,4
4,6.092795138888889,644,4.754020543981482,607,6.425579427083333,133,1.4945382125289353,4
5,6.0927958622685185,644,4.754012586805556,607,6.425568576388889,133,1.4945250108506944,4
6,6.0927936921296295,644,4.754022352430556,607,6.425582320601852,133,1.494544089988426,4
7,6.0927936921296295,644,4.754019097222222,607,6.425580150462963,133,1.4945407443576388,4
8,6.0927936921296295,644,4.754022352430556,607,6.425583043981481,133,1.4945444516782407,4
9,6.092798755787037,644,4.754009693287037,607,6.425568576388889,133,1.4945206705729166,4
10,6.0927922453703705,644,4.754018735532408,607,6.425579427083333,133,1.494540111400463,4
11,6.092790075231481,644,4.75401439525463,607,6.425576533564815,133,1.4945344147858797,4
12,6.0927936921296295,644,4.7540115017361115,607,6.425573640046296,133,1.4945291702835648,4
13,6.09279296875,644,4.7540111400462965,607,6.425569299768519,133,1.494524830005787,4
14,6.092790798611111,644,4.7540078848379625,607,6.425568576388889,133,1.4945246491608797,4
15,6.092795138888889,644,4.754014756944445,607,6.425577980324074,133,1.4945322446469906,4
16,6.0927936921296295,644,4.754011863425926,607,6.425570023148148,133,1.4945252821180555,4
17,6.092787905092592,644,4.754016565393519,607,6.425576533564815,133,1.4945366753472222,4
18,6.0927936921296295,644,4.754022352430556,607,6.425582320601852,133,1.494543818721065,4
19,6.0927936921296295,644,4.754018373842593,607,6.425578703703704,133,1.494537941261574,4
20,6.0927944155092595,644,4.7540234375,607,6.425583043981481,133,1.4945436378761574,4
21,6.092800202546297,644,4.7540060763888885,607,6.42556785300926,133,1.4945170536747685,4
22,6.0927965856481485,644,4.754017650462963,607,6.425575086805556,133,1.4945302553530093,4
23,6.09279296875,644,4.7540075231481485,607,6.42556640625,133,1.4945188621238426,4
24,6.092787181712963,644,4.754004991319444,607,6.425564959490741,133,1.4945221173321759,4
25,6.092797309027778,644,4.754010054976852,607,6.42556785300926,133,1.494520580150463,4
26,6.092787181712963,644,4.75400245949074,607,6.4255584490740745,133,1.4945120804398149,4
27,6.09279296875,644,4.7540067997685185,607,6.425565682870371,133,1.4945161494502315,4
28,6.092808883101852,644,4.753890335648149,607,6.425522280092593,133,1.4944037543402777,4
29,6.092801649305556,644,4.753896484375,607,6.425523726851852,133,1.4944011320891204,4
30,6.092803096064815,644,4.754030671296296,607,6.425590277777777,133,1.4945515046296296,4
