,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
1,1,1_0,COMPLETED,Sobol,47.641643833487876,0.821218120929383,0.042124781905866535,128,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,47.65624442784206,1.0537164158778436,0.1,128,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,47.77645999287189,0.8046462475754653,0.1,128,max,128,2
12,12,12_0,COMPLETED,BO_MIXED,48.100324193762425,1.2162427523935428,0.1,512,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,48.47569604798845,1.5943613993411243,0.00969252236427111,128,max,128,2
13,13,13_0,COMPLETED,BO_MIXED,48.85286303158429,1.3854021409564603,0.016138457697075483,256,sum,128,2
5,5,5_0,COMPLETED,Sobol,49.2758638321664,1.9601918136986496,0.013215494743445832,128,mean,128,2
6,6,6_0,COMPLETED,BO_MIXED,49.86579298855807,1.7396987229025482,0.003873588769500648,128,sum,128,2
4,4,4_0,COMPLETED,Sobol,52.03738013036092,2.579570785795112,0.0028437033255790875,512,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,52.27623793737345,3.0774508839370873,0.1,128,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,52.30393241275489,2.661967752275154,0.014169806031728708,128,sum,128,2
2,2,2_0,COMPLETED,Sobol,65.37141117892051,6.958349918854521,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,66.39575185425963,6.960617289070581,0.0007632231810882134,256,max,128,2
11,11,11_0,COMPLETED,BO_MIXED,66.57030987385548,6.955609264930307,0.00024370671388610981,128,mean,128,2
0,0,0_0,COMPLETED,Sobol,66.59512614732839,6.955026882220359,0.0001865322718407359,256,mean,128,2
