,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
16,16,16_0,COMPLETED,BO_MIXED,8.280461938450289,2.944244710410934,0.052295538124121924,128,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,8.285041250356919,2.866646228687946,0.1,256,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,8.296441551688233,2.890223169575872,0.1,128,sum,128,2
17,17,17_0,COMPLETED,BO_MIXED,8.314902020918849,2.8511916799561803,0.1,128,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,8.31950813202436,2.9134732967653507,0.08322855396714315,128,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,8.326045960380597,2.9663061801395187,0.061357433338836434,256,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,8.342847056338245,2.9257948166056162,0.06827077008094788,128,sum,128,2
25,25,25_0,COMPLETED,BO_MIXED,8.348088244908245,3.021135676261677,0.048707379769976036,128,sum,128,2
26,26,26_0,COMPLETED,BO_MIXED,8.354534668149387,2.9674252103642518,0.06744525765563872,256,sum,128,2
1,1,1_0,COMPLETED,Sobol,8.365736731548122,2.9750867666838716,0.042124781905866535,128,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,8.377781935927173,2.9986167721208252,0.0798190749830571,256,sum,128,2
21,21,21_0,COMPLETED,BO_MIXED,9.265201582072457,3.744137362287413,0.021365224324432223,128,max,128,2
24,24,24_0,COMPLETED,BO_MIXED,9.270131561230247,3.6977302680168647,0.05045404866289315,128,max,128,2
29,29,29_0,COMPLETED,BO_MIXED,9.279400907026925,3.7674067074671953,0.009063069449875382,128,sum,128,2
15,15,15_0,COMPLETED,BO_MIXED,9.281279306710665,3.6854751410162923,0.04310079596861447,256,sum,128,2
18,18,18_0,COMPLETED,BO_MIXED,9.283475095689118,3.7966908005132556,0.07325553719014213,128,mean,128,2
4,4,4_0,COMPLETED,Sobol,9.28853641217311,3.775124929640749,0.0028437033255790875,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,9.289172235936151,3.79534736501809,0.0034984596226199345,512,mean,128,2
11,11,11_0,COMPLETED,BO_MIXED,9.297334764538757,3.586344941345336,0.1,256,max,128,2
27,27,27_0,COMPLETED,BO_MIXED,9.298729724558168,3.8066639469361876,0.0033232851424801818,128,mean,128,2
23,23,23_0,COMPLETED,BO_MIXED,9.304329798556958,3.8088736331797564,0.006609595817937708,128,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,9.315111323367924,3.8007417267377006,0.0028523701476412043,128,sum,128,2
5,5,5_0,COMPLETED,Sobol,9.315921863864435,3.8182169212022865,0.013215494743445832,128,mean,128,2
28,28,28_0,COMPLETED,BO_MIXED,9.316617737868684,3.8154783910760877,0.03421034235413945,512,max,128,2
20,20,20_0,COMPLETED,BO_MIXED,9.338285516812777,3.4879424856811014,0.026504783714522067,128,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,9.33887050830826,3.8213247568385693,0.06423519875141191,512,sum,128,2
3,3,3_0,COMPLETED,Sobol,9.35145500090032,3.8315107572156673,0.0007632231810882134,256,max,128,2
19,19,19_0,COMPLETED,BO_MIXED,9.45940681623194,3.8772167741772376,0.1,256,mean,128,2
0,0,0_0,COMPLETED,Sobol,9.609340733844395,3.933786216624064,0.0001865322718407359,256,mean,128,2
22,22,22_0,COMPLETED,BO_MIXED,9.609358190448935,3.9336907884865453,0.0001,512,sum,128,2
