trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n,prefix_7_mae,prefix_7_n
1,0.04022860491717303,2007,0.07989408704969618,2007,0.13461289017288774,2007,0.2123274513527199,2007,0.43623345269097225,2007,0.5964304380063657,2007,0.8081770833333334,2007
2,0.014639600118001302,2007,0.029892589427806714,2007,0.12609171549479167,2007,0.014863949528446904,2007,0.252626953125,2007,0.33293217411747683,2007,0.5829725477430555,2007
3,0.05121926766854745,2007,0.08010985762984664,2007,0.08387528596100984,2007,0.12047029848451968,2007,0.24987377025462962,2007,0.3542515959563079,2007,0.48122789171006947,2007
4,0.08783166390878183,2007,0.09847443757233797,2007,0.08791198165328415,2007,0.11167734781901041,2007,0.2304833080150463,2007,0.3322344518590856,2007,0.46304045500578705,2007
5,0.3860706470630787,2007,0.32323352955005785,2007,0.10327112268518518,2007,0.09915676540798611,2007,0.21234390823929397,2007,0.2928992377387153,2007,0.4140126320167824,2007
6,0.6803775589554398,2007,0.6025472909432871,2007,0.3400297941984954,2007,0.015040705645525896,2007,0.2800733778211806,2007,0.313723302770544,2007,0.4858356391059028,2007
7,0.04933307223849826,2007,0.07987651118525753,2007,0.1317984460901331,2007,0.2076312029803241,2007,0.4258975784866898,2007,0.5827564832899306,2007,0.79000244140625,2007
8,0.238087158203125,2007,0.16585059271918404,2007,0.09548169171368634,2007,0.015551838344997829,2007,0.23684201841001157,2007,0.2761066351996528,2007,0.48129738136574074,2007
9,0.2412228732638889,2007,0.06600701791268808,2007,0.049916240550853586,2007,0.015028738798918547,2007,0.3723565447771991,2007,0.6115031828703704,2007,0.908250415943287,2007
10,0.04378291659884983,2007,0.08210558855975116,2007,0.1323513454861111,2007,0.20629412615740741,2007,0.4243683087384259,2007,0.5818481897424769,2007,0.7888040726273148,2007
11,0.21836376048900463,2007,0.14872827600549768,2007,0.09508401376229746,2007,0.015171425430862992,2007,0.19289638943142362,2007,0.28291377314814814,2007,0.5076859537760416,2007
12,0.05438794171368634,2007,0.0869832017686632,2007,0.1292760326244213,2007,0.19716835304542824,2007,0.4051184986255787,2007,0.5567201967592592,2007,0.7573075810185185,2007
13,0.21066582573784723,2007,0.22709825303819445,2007,0.08118607132523148,2007,0.09944455747251157,2007,0.2089129638671875,2007,0.3140673149956597,2007,0.4511283817997685,2007
14,0.2031799994574653,2007,0.19460293240017362,2007,0.13260265209056712,2007,0.015169631110297309,2007,0.22384247956452547,2007,0.30781582302517363,2007,0.5054087999131944,2007
15,0.11801311351634838,2007,0.15929079408998842,2007,0.13267886691623265,2007,0.015236505579065394,2007,0.21692073115596064,2007,0.3306238923249421,2007,0.5523395905671297,2007
16,0.04351993136935764,2007,0.059170701768663195,2007,0.11521364565248843,2007,0.015105628967285156,2007,0.2148575168185764,2007,0.2864710602936921,2007,0.5186562771267361,2007
17,0.19032280815972222,2007,0.04675723605685764,2007,0.06786493372034144,2007,0.015096856576425058,2007,0.3747735143590856,2007,0.6269087275752315,2007,0.9451731589988426,2007
18,0.09202213428638599,2007,0.05868425157335069,2007,0.11673655192057292,2007,0.01596604241265191,2007,0.29231268988715275,2007,0.31814073350694444,2007,0.5138130244502315,2007
19,0.10311249909577547,2007,0.12531604908130786,2007,0.08867444073712384,2007,0.10585162127459491,2007,0.21830579969618055,2007,0.31245433666087963,2007,0.4354728190104167,2007
20,0.06120755796079282,2007,0.08959990324797454,2007,0.12444138138382523,2007,0.18711039225260417,2007,0.38566107855902776,2007,0.5321074309172453,2007,0.7251573350694445,2007
21,0.0453875986735026,2007,0.0747811437536169,2007,0.08540670324254919,2007,0.12318170618127894,2007,0.2577290400752315,2007,0.3662119773582176,2007,0.49809267397280094,2007
22,0.1526224206995081,2007,0.21824058250144676,2007,0.13429168701171876,2007,0.0152935141104239,2007,0.2050751636646412,2007,0.27001905653211805,2007,0.4891238064236111,2007
23,0.13676506890190973,2007,0.14907930727358218,2007,0.11337901927806714,2007,0.016678569934986256,2007,0.23129921242042825,2007,0.2835347719545718,2007,0.5043665907118056,2007
24,0.28596510145399306,2007,0.31465772840711803,2007,0.1863588121202257,2007,0.0149737548828125,2007,0.25599030671296297,2007,0.27947148075810185,2007,0.47617861147280094,2007
25,0.4048882830584491,2007,0.4099958405671296,2007,0.19944469310619212,2007,0.015423126220703125,2007,0.2579911747685185,2007,0.27926852756076387,2007,0.48740478515625,2007
26,0.32538709852430553,2007,0.3986423520688657,2007,0.12206675211588541,2007,0.10577463785807292,2007,0.21415436921296296,2007,0.325599206995081,2007,0.45788027162905093,2007
27,0.07076032285337094,2007,0.09506017614293981,2007,0.0875234137641059,2007,0.11906598126446759,2007,0.24121080186631944,2007,0.3391825358072917,2007,0.45389643916377315,2007
28,0.04829237196180555,2007,0.08039852566189236,2007,0.12901091399016204,2007,0.2015351924189815,2007,0.412356861255787,2007,0.565278003833912,2007,0.7668663194444445,2007
29,0.08978111549660012,2007,0.11580020480685764,2007,0.08743521796332465,2007,0.11637924759476273,2007,0.23520247847945602,2007,0.33061464662905093,2007,0.44048904984085646,2007
30,0.3277415183738426,2007,0.335289148401331,2007,0.11015586570457175,2007,0.10370244909215856,2007,0.20658732096354165,2007,0.3091463668258102,2007,0.4299819607204861,2007
