trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n
1,0.0005242061173474348,203,0.004323820891203704,202,0.007383345851191768,152,0.01747043327048973,150,0.01746087674741392,114,0.1346588134765625,1
2,0.005625907403451425,203,0.010290477893970631,202,0.012868116873281973,152,0.012953414916992187,150,0.01427027667010272,114,0.1254651896158854,1
3,0.006248917756257234,203,0.011081706859447338,202,0.011427180678756149,152,0.013287607828776042,150,0.012209849887424046,114,0.12563275372540508,1
4,0.00799067391289605,203,0.011105284514250578,202,0.011499731275770399,152,0.01325179206000434,150,0.012151157237865307,114,0.1255110451027199,1
5,0.007993676220929181,203,0.01072199574223271,202,0.011396046391239872,152,0.013349182694046585,150,0.01224175771077474,114,0.1253901954933449,1
6,0.0053748353322347,203,0.010040194193522135,202,0.009961119757758246,152,0.011770891260217737,150,0.010757267563431351,114,0.12642276340060765,1
7,0.00023483232215598776,203,0.00408418337504069,202,0.007280245886908637,152,0.01787965562608507,150,0.0178740155255353,114,0.13508594654224537,1
8,0.006883414939597801,203,0.011779621265552662,202,0.011910106517650463,152,0.013291402746129919,150,0.012138618186668114,114,0.12514556884765626,1
9,7.340797119670444e-05,203,0.0040022814715350115,202,0.007226183149549696,152,0.01812776071053964,150,0.018126727916576244,114,0.1353459110966435,1
10,0.00221928631817853,203,0.006135592284025969,202,0.008224129146999782,152,0.015413114759657119,150,0.01522941165500217,114,0.13210854989510995,1
11,3.949168655607435e-05,203,0.003993765513102213,202,0.007215370602077908,152,0.01818184181495949,150,0.01818092770046658,114,0.13539946379484954,1
12,0.0004918810173317238,203,0.00419431898328993,202,0.007331295719853154,152,0.017658557185420285,150,0.01764765562834563,114,0.1348493222837095,1
13,0.007531719207763672,203,0.0101977214106807,202,0.011045087178548177,152,0.01335708053023727,150,0.012312737924081309,114,0.12580248797381366,1
14,0.0010679392461423521,203,0.004625055525037978,202,0.007515119623254847,152,0.017009972466362846,150,0.016979485970956307,114,0.13411407470703124,1
15,0.00034899270092999494,203,0.004104506174723307,202,0.0072915197301793985,152,0.017823446768301505,150,0.017815266361942996,114,0.13502070674189814,1
16,0.006284535019486039,203,0.011138398912217882,202,0.01146672213519061,152,0.013299872786910446,150,0.012208469532154225,114,0.12562594943576388,1
17,0.006255376603868272,203,0.010174330958613642,202,0.0100310304429796,152,0.01180053499009874,150,0.010670078418872974,114,0.1257936378761574,1
18,0.0019613850558245624,203,0.005394686946162471,202,0.007858850691053602,152,0.01607887691921658,150,0.01596099853515625,114,0.1329818160445602,1
19,0.0001497035335611414,203,0.004028625135068541,202,0.0072509249934443725,152,0.01800938641583478,150,0.018005735609266493,114,0.13522054036458334,1
20,5.668779766118085e-05,203,0.003997575265389902,202,0.0072205564710829,152,0.01815431100350839,150,0.01815315246582031,114,0.1353703138563368,1
21,0.0001415858997239007,203,0.0040235010782877605,202,0.0072466391104239,152,0.018022472240306713,150,0.01801958578604239,114,0.13523659035011573,1
22,0.00449533568488227,203,0.008758260938856337,202,0.010551881436948423,152,0.017331062599464698,150,0.01621670334427445,114,0.11145437735098379,1
23,9.501521234159117e-05,203,0.004006708286426686,202,0.007232025994194879,152,0.01809395684136285,150,0.018092528449164497,114,0.13531114366319444,1
24,0.000246794444543344,203,0.004095686806572808,202,0.00728665033976237,152,0.017860617461027923,150,0.017855363068757235,114,0.13506673177083334,1
25,0.0011625396763836897,203,0.00497475058944137,202,0.007658406716805917,152,0.016609864411530673,150,0.016553324946650752,114,0.13364570900245948,1
26,0.006157894840946904,203,0.010006641811794705,202,0.009918688314932363,152,0.01166071785820855,150,0.010610405250831886,114,0.12559872097439237,1
27,0.0003992449354242395,203,0.004134028752644857,202,0.0073056037337691695,152,0.01777220266836661,150,0.017764304832175927,114,0.13497309932002316,1
28,0.0034081427256266277,203,0.007932694753011067,202,0.012248290733054832,152,0.015828477364999278,150,0.0154284992924443,114,0.11811295120804398,1
29,0.00016897345030749287,203,0.004038234640050818,202,0.007255340152316624,152,0.017981543364348235,150,0.017977032131618925,114,0.1351917521158854,1
30,0.00018733697908895986,203,0.004051704053525572,202,0.007264031304253472,152,0.01795058497676143,150,0.0179450437757704,114,0.13516269259982638,1
