,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
9,9,9_0,COMPLETED,BO_MIXED,45.227260926123776,1.1564295482869351,0.007156410261411228,128,max,128,2
10,10,10_0,COMPLETED,BO_MIXED,45.87152051859974,1.4454997996077008,0.0038069403959475915,128,sum,128,2
5,5,5_0,COMPLETED,Sobol,46.47739476990345,1.6855480379695436,0.013215494743445832,128,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,46.9107405702275,1.676100326203821,0.005695339800206796,128,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,48.17599319665201,1.923342794242033,0.018120782579349442,256,sum,128,2
1,1,1_0,COMPLETED,Sobol,48.24795216465903,1.9132327680768773,0.042124781905866535,128,sum,128,2
11,11,11_0,COMPLETED,BO_MIXED,48.52452319682903,2.09103261561346,0.1,256,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,49.190076140017666,2.1048484086276344,0.019586582726189884,128,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,49.64617904566735,2.3401628752160524,0.1,512,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,50.01012563311175,2.433866693505139,0.04513379806638799,128,mean,128,2
4,4,4_0,COMPLETED,Sobol,66.11897920363289,3.8716948465468244,0.0028437033255790875,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,67.62643607810183,4.084843177426666,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,67.66297742925393,4.085259763052391,0.0007632231810882134,256,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,67.7115752143,4.084281608675843,0.0001,128,sum,128,2
0,0,0_0,COMPLETED,Sobol,67.72166657034622,4.084097406805877,0.0001865322718407359,256,mean,128,2
