trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n,prefix_7_mae,prefix_7_n,prefix_8_mae,prefix_8_n,prefix_9_mae,prefix_9_n,prefix_10_mae,prefix_10_n,prefix_11_mae,prefix_11_n,prefix_12_mae,prefix_12_n,prefix_13_mae,prefix_13_n,prefix_14_mae,prefix_14_n,prefix_15_mae,prefix_15_n,prefix_16_mae,prefix_16_n,prefix_17_mae,prefix_17_n,prefix_18_mae,prefix_18_n,prefix_19_mae,prefix_19_n,prefix_20_mae,prefix_20_n
1,0.0003218786363248472,140,1.6684727647569444,140,1.9003061704282407,138,1.9953539134837963,138,3.1539268663194444,138,16.030632233796297,138,20.851436631944445,138,25.44379340277778,138,30.30755787037037,137,33.75395543981482,137,43.078203125,136,47.688098958333335,135,50.55480324074074,130,53.917858796296294,128,59.86764467592592,128,61.31135416666667,128,64.05833912037038,127,65.62688078703704,126,58.3591087962963,123,61.18785300925926,123
2,0.4396110478153935,140,1.906752567997685,140,1.9360796440972223,138,2.004573386863426,138,3.050011574074074,138,15.8565234375,138,20.652258391203702,138,25.22181423611111,138,29.911614583333332,137,33.288969907407406,137,42.58083333333333,136,47.17299189814815,135,50.01826967592593,130,53.364074074074075,128,59.284560185185185,128,60.72208333333333,128,63.46849537037037,127,65.03424768518518,126,57.763842592592596,123,60.59050925925926,123
3,0.05488371107313368,140,1.7037702546296296,140,1.8979049117476852,138,1.987994068287037,138,3.1310149016203703,138,15.997546296296296,138,20.81508101851852,138,25.40517939814815,138,30.243671875,137,33.68042824074074,137,43.000483217592596,136,47.60861979166667,135,50.47266203703704,130,53.83412037037037,128,59.78081018518518,128,61.224513888888886,128,63.971498842592595,127,65.54002314814815,126,58.27206018518518,123,61.100839120370374,123
4,0.04016052528663918,140,1.6895518663194444,140,1.8983640769675927,138,1.990377785011574,138,3.1394325086805557,138,16.009780092592592,138,20.82845775462963,138,25.41935185185185,138,30.267306134259258,137,33.707693865740744,137,43.02930555555555,136,47.63814525462963,135,50.50329861111111,130,53.86542824074074,128,59.813211805555554,128,61.256875,128,64.00384259259259,127,65.57235532407407,126,58.304467592592594,123,61.13318287037037,123
5,0.24115849247685187,140,1.780038158275463,140,1.8883139829282407,138,1.9650517216435186,138,3.067915943287037,138,15.910366030092593,138,20.71984230324074,138,25.304817708333335,138,30.08275173611111,137,33.49572916666666,137,42.80447916666667,136,47.40752314814815,135,50.26377893518519,130,53.62048611111111,128,59.559450231481485,128,61.0032349537037,128,63.75023148148148,127,65.31895833333333,126,58.05039351851852,123,60.879583333333336,123
6,0.13530814841941552,140,1.7586646412037037,140,1.894730541087963,138,1.9760548683449075,138,3.0940596064814816,138,15.94548611111111,138,20.757973090277776,138,25.344398148148148,138,30.14361689814815,137,33.56537905092593,137,42.87858796296296,136,47.483781828703705,135,50.343599537037036,130,53.70256944444444,128,59.64439814814815,128,61.08806712962963,128,63.83506944444444,127,65.40358796296296,126,58.13525462962963,123,60.96408564814815,123
7,1.8266626880787038,140,2.8567833116319443,140,3.327681568287037,138,3.342847583912037,138,3.84328125,138,15.18398582175926,138,19.69714554398148,138,23.138797743055555,138,26.272083333333335,137,28.589351851851852,137,31.768700810185184,136,34.66441550925926,135,37.38520833333333,130,39.99824942129629,128,44.46957754629629,128,45.97064236111111,128,48.85780671296296,127,50.30441550925926,126,42.81438368055556,123,45.67132233796296,123
8,0.5934286838107639,140,2.0480074508101853,140,2.0422334346064814,138,2.1092621527777777,138,3.117308304398148,138,15.895694444444445,138,20.67607060185185,138,25.235014467592592,138,29.86161747685185,137,33.210078125,137,42.49106481481481,136,47.06923321759259,135,49.90525462962963,130,53.23904513888889,128,59.139519675925925,128,60.5721412037037,128,63.31865740740741,127,64.88114583333333,126,57.60880787037037,123,60.432424768518516,123
9,0.4038726128472222,140,1.9311872468171296,140,1.9348701533564814,138,1.998355396412037,138,3.0484837962962965,138,15.85654369212963,138,20.653096064814815,138,25.226197916666667,138,29.923304398148147,137,33.30390914351852,137,42.600648148148146,136,47.19737268518519,135,50.04660300925926,130,53.396574074074074,128,59.320347222222225,128,60.75944444444445,128,63.506278935185186,127,65.0733449074074,126,57.80367476851852,123,60.63054976851852,123
10,2.2502195457175924,140,3.4715950520833334,140,3.69663990162037,138,3.699404296875,138,4.079421657986111,138,14.864991319444444,138,19.170593171296296,138,22.38496238425926,138,25.30040798611111,137,28.195619212962963,137,30.12399884259259,136,31.476510416666667,135,33.8521875,130,35.596235532407405,128,39.72964120370371,128,40.689675925925926,128,43.020078125,127,44.22579861111111,126,36.54676215277778,123,39.61220775462963,123
11,1.7110369646990742,140,3.111109302662037,140,3.3197294560185187,138,3.382206669560185,138,3.988002025462963,138,14.985357349537036,138,19.41443431712963,138,23.283857060185184,138,26.309522569444443,137,28.675726273148147,137,33.87846064814815,136,37.23942418981481,135,39.891840277777774,130,42.377991898148146,128,46.95656828703704,128,48.389155092592596,128,51.16206018518518,127,52.49355902777778,126,44.864438657407405,123,47.58962962962963,123
12,1.3005000361689816,140,2.8629533781828704,140,3.0533897569444446,138,3.0938794849537037,138,3.9957917390046296,138,15.724175347222221,138,20.21519097222222,138,24.427254050925924,138,27.43302372685185,137,29.848075810185186,137,36.97964120370371,136,40.94343171296296,135,43.58052083333333,130,46.61144386574074,128,51.832934027777775,128,53.3215625,128,56.134027777777774,127,57.63170138888889,126,50.18025462962963,123,52.99646412037037,123
13,1.6179143156828704,140,3.0568977864583333,140,3.014820240162037,138,3.0661328125,138,3.9034512442129627,138,16.521498842592592,138,21.168013599537037,138,25.656472800925926,138,29.881128472222223,137,33.04359953703704,137,42.19148726851852,136,46.62464699074074,135,49.32904513888889,130,52.52469328703704,128,58.263333333333335,128,59.654386574074074,128,62.39978009259259,127,63.9381712962963,126,56.61076967592592,123,59.411394675925926,123
14,2.3212644675925924,140,3.5632703993055554,140,3.809307002314815,138,3.7466941550925927,138,4.287703993055556,138,15.053641493055556,138,19.51975115740741,138,23.175416666666667,138,26.144730902777777,137,28.562905092592594,137,31.85140335648148,136,34.768313078703706,135,37.493478009259256,130,39.945422453703706,128,44.37976851851852,128,45.80912037037037,128,48.62330439814815,127,49.99171875,126,42.44266203703704,123,45.29360532407407,123
15,2.3178609664351852,140,3.5773824508101852,140,3.6749052372685185,138,3.6600202546296297,138,4.237143012152778,138,15.12624855324074,138,19.539620949074074,138,23.181905381944443,138,26.012326388888887,137,28.467725694444443,137,31.937216435185185,136,34.93517650462963,135,37.5640625,130,39.733952546296294,128,44.0577025462963,128,45.349525462962966,128,47.95563078703704,127,49.21138888888889,126,41.52294849537037,123,44.35750289351852,123
16,0.1186781480577257,140,1.7483678747106481,140,1.8992073567708334,138,1.982084056712963,138,3.1068901909722224,138,15.961069155092593,138,20.774612268518517,138,25.361568287037038,138,30.168961226851852,137,33.59405671296296,137,42.909181134259256,136,47.51537326388889,135,50.37626736111111,130,53.73596064814815,128,59.67893518518518,128,61.12268518518518,128,63.86965856481481,127,65.43814814814814,126,58.16995949074074,123,60.99872685185185,123
17,0.5250482855902778,140,2.25751392505787,140,2.71170482494213,138,2.9481172236689814,138,3.989767795138889,138,15.661258680555555,138,20.386725983796296,138,24.605807291666668,138,27.348799189814816,137,29.622688078703703,137,36.24544849537037,136,40.0613599537037,135,42.72298900462963,130,45.70936921296296,128,50.814866898148146,128,52.317002314814815,128,55.13880208333333,127,56.62283564814815,126,49.16269675925926,123,51.98431712962963,123
